Name,ServiceName,Location,SourceImage,User,Password,InstanceSize,Ports
imhub-EastUS,imhub-EastUs,East US,,,,,1082:80:81
imhub-SCUS,imhub-SCUS,South Central US,,,,,1082:80:81
imhub-NCUS,imhub-NCUS,North Central US,,,,,1082:80:81
imhub-EastUS2,imhub-EastUS2,East US 2,,,,,1082:80:81
imhub-CUS,imhub-CUS,Central US,,,,,1082:80:81
imhub-NEurope,imhub-NEurope,North Europe,,,,,1082:80:81
imhub-SEAsia,imhub-SEAsia,Southeast Asia,,,,,1082:80:81
imhub-EAsia,imhub-EAsia,East Asia,,,,,1082:80:81
imhub-JapanW,imhub-JapanW,Japan West,,,,,1082:80:81
imhub-JapanE,imhub-JapanE,Japan East,,,,,1082:80:81
imhub-BrazilS,imhub-BrazilS,Brazil South,,,,,1082:80:81
imhub-AusS,imhub-AusS,Australia Southeast,,,,,1082:80:81
imhub-AusSE,imhub-AusSE,Australia Southeast,,,,,1082:80:81
imhub-AusE,imhub-AusE,Australia East,,,,,1082:80:81
imhub-europe,imhub-europe,West Europe,,,,,1082:80:81
imhub-WestUS,imhub-westus,West US,,,,,1082:80:81
